PROVINCIA ESTABLECIMIENTO,PARTIDO ESTABLECIMIENTO,Recuento de TITULAR,Recuento de NOMBRE ESTABLECIMIENTO,Suma de TOTAL DE HECTAREAS SEMBRADAS,Total de hectareas de no clientes,Porcentaje de hectareas de no clientes
CORDOBA,SAN JAVIER,8,12,9381.8,8113,86.48 %
CORDOBA,SAN JUSTO,538,1685,1058701.014,807361.9246,76.26 %
