PROVINCIA ESTABLECIMIENTO,PARTIDO ESTABLECIMIENTO,Recuento de TITULAR,Recuento de NOMBRE ESTABLECIMIENTO,Suma de TOTAL DE HECTAREAS SEMBRADAS,Total de hectareas de no clientes,Porcentaje de hectareas de no clientes
CORDOBA,SAN JAVIER,8,6,16,6858,5817,"84,82 %"
CORDOBA,SAN JUSTO CORDOBA,538,423,2259,532847,413826.53229999996,"77,66 %"
